"Date","Price (Close)","Circulating Marketcap","Realized Marketcap"
"2021-09-22","43573.11521182879","766779938864.0013","395131736034.1337"
"2021-09-21","40713.372437437945","806672886180.7128","394575423316.2143"
"2021-09-20","43005.41397261596","889576207958.3322","395284019677.9331"
"2021-09-19","47250.21110037927","903246198144.6581","396212217786.2665"
"2021-09-18","48302.461196218086","890155462050.5521","396075176282.6403"
"2021-09-17","47300.90215676043","899333744079.7236","395777211861.3624"
"2021-09-16","47757.27115947085","906814236888.2235","395534060266.90497"
"2021-09-15","48148.33116063502","886555837814.2657","395139772789.73627"
"2021-09-14","47130.67957423161","846039660487.9895","394079381146.0675"
"2021-09-13","44956.04181226871","866617520401.8715","393385996562.9523"
"2021-09-12","46036.387569405204","850574987016.8685","393457585609.9204"
"2021-09-11","45175.24475579598","844072284079.5713","393195832306.94293"
"2021-09-10","44858.851039253714","873064114947.6367","393067482438.6095"
"2021-09-09","46406.77808193513","871213068381.4476","393214555913.1132"
"2021-09-08","46072.84462407352","880744467967.6189","392494136446.1262"
"2021-09-07","46888.73509387665","990923480509.3326","392435216117.1203"
"2021-09-06","52699.017881348496","974265482199.1935","393001252188.2612"
"2021-09-05","51795.68875881028","939599398338.4998","392286882007.1513"
"2021-09-04","49943.86590989726","941874238929.9232","391861263606.2737"
"2021-09-03","49998.478892060055","935309457617.1373","391440022123.1887"
"2021-09-02","49274.878632583706","918759224383.6782","390888324839.99695"
"2021-09-01","48844.679788416994","884199596232.1239","390183820587.351"
"2021-08-31","47132.960237921856","884589072158.1819","389390201413.2594"
"2021-08-30","47002.93606319256","918514106329.546","388967492827.2877"
"2021-08-29","48804.89206631799","919722588787.9966","388750063840.4606"
"2021-08-28","48931.190615437015","922863473132.6665","388512704444.50696"
"2021-08-27","49094.133344419366","881980905717.6575","388216259309.66266"
"2021-08-26","46856.62735920133","920894315738.2853","387753137455.4318"
"2021-08-25","48996.135100263746","897881323008.5034","387182064073.2873"
"2021-08-24","47661.18803327176","931070898902.9567","385308791142.93427"
"2021-08-23","49513.10577212436","926702194175.8004","385150537594.2543"
"2021-08-22","49285.906871382074","919111068985.3741","384158672188.0287"
"2021-08-21","48874.2292170511","927337280893.7097","383721676132.9737"
"2021-08-20","49339.77499641724","878824761477.2834","383241846500.4739"
"2021-08-19","46779.78198864239","842147120944.8312","382248068271.7271"
"2021-08-18","44723.54788930048","840003166487.536","381580450025.90106"
"2021-08-17","44702.679927049634","864364197236.643","381068402794.43414"
"2021-08-16","45944.57110085371","884408680338.5732","380906526990.8308"
"2021-08-15","47019.242786178664","885238173126.7728","380550842159.6535"
"2021-08-14","47113.09372840073","898741006313.3245","380304912616.5069"
"2021-08-13","47824.71047899698","834338737738.6477","379403033955.1239"
"2021-08-12","44427.68487627358","856409163776.3387","378555596991.90015"
"2021-08-11","45547.32441341331","857719763842.3818","378254662454.722"
"2021-08-10","45570.76175014585","871736939476.9901","377796612812.6354"
"2021-08-09","46278.253536640885","823745389172.3314","377189695534.44684"
"2021-08-08","43849.0961868643","837002242091.8694","376083624624.47363"
"2021-08-07","44623.75802778377","805405882863.8239","375814938035.42395"
"2021-08-06","42861.677909854814","768013382011.285","375335321476.0894"
"2021-08-05","40906.72936123486","746618904326.07","374595121828.3639"
"2021-08-04","39711.576945807625","716303648663.8817","374207634168.2359"
"2021-08-03","38214.81668506366","735615874926.7351","373863209139.074"
"2021-08-02","39175.32554102747","750809011802.6333","374017051456.18384"
"2021-08-01","39871.314841764244","780542249115.7811","373899520426.8335"
"2021-07-31","41485.3914898339","793623218282.7191","373931234685.75214"
"2021-07-30","42229.805800357586","751363183573.4065","373699212503.3805"
"2021-07-29","40032.51673091158","751110839689.0695","372971955973.58636"
"2021-07-28","40047.367972189335","740421265715.7383","368583695934.21655"
"2021-07-27","39478.99469474245","700618154559.2839","366844575219.5609"
"2021-07-26","37258.11169992395","664075872384.6238","364094575898.93365"
"2021-07-25","35416.083767790995","643934776350.5321","362432537144.3876"
"2021-07-24","34279.26671222107","630555330652.2644","362318172544.4652"
"2021-07-23","33648.05439739837","606415527729.5022","362201219574.56287"
"2021-07-22","32287.333380162017","602651158765.2057","362886459439.0231"
"2021-07-21","32145.21054684758","559309732766.1619","362668443375.7352"
"2021-07-20","29807.79473257486","579032165410.6823","362495552726.925"
"2021-07-19","30843.20915229","596960875500.247","362645503190.62396"
"2021-07-18","31801.533237922555","591953301228.8912","362870172343.784"
"2021-07-17","31532.01401902486","589406665480.6649","362986019783.24524"
"2021-07-16","31395.101942953344","598191585397.1111","361505308511.4145"
"2021-07-15","31877.967088084974","615782207309.5413","361847932592.2129"
"2021-07-14","32838.40637757754","614129076445.7614","362311541233.8899"
"2021-07-13","32729.372735564528","620679636887.0529","362512311426.037"
"2021-07-12","33087.1818330396","642639061943.2975","362752967815.03143"
"2021-07-11","34257.992760709334","628737364958.0264","362622435226.2718"
"2021-07-10","33522.06356837286","633934945991.1401","362554477989.2394"
"2021-07-09","33810.42781975512","616571694506.2479","362574075554.38617"
"2021-07-08","32884.7762251915","635511032048.2476","362433442532.75165"
"2021-07-07","33869.70692034103","642105926160.6051","362772573963.8868"
"2021-07-06","34222.14298956328","631954037093.7885","362748110020.82153"
"2021-07-05","33694.22371492725","661700731705.0841","362797997483.3861"
"2021-07-04","35285.49582543825","650477712452.0396","362893858347.2962"
"2021-07-03","34674.99184429142","634003124385.0635","362767887996.4779"
"2021-07-02","33698.749115710125","628509187499.8739","362689285234.7082"
"2021-07-01","33516.54526347933","657464524941.3081","363604542002.9763"
"2021-06-30","35047.23922681836","673237510957.6335","364041590028.52295"
"2021-06-29","35909.54506540364","646743166415.4061","364153221211.6759"
"2021-06-28","34495.23534548134","649729616549.1019","364085414872.0395"
"2021-06-27","34709.64461020715","604239708682.6132","364121567087.8174"
"2021-06-26","32291.059871232792","592309222579.1776","363797677210.39905"
"2021-06-25","31587.362684572647","649820096971.7588","364108760183.1289"
"2021-06-24","34660.06634955702","631077838890.648","367683065618.3296"
"2021-06-23","33683.42842330969","610046605864.9718","367569345115.77484"
"2021-06-22","32530.813769029355","593685052053.0792","367601751444.0968"
"2021-06-21","31623.937442037986","667960564538.5399","367901227405.83405"
"2021-06-20","35596.77103679014","665619423553.1346","369093449580.0777"
"2021-06-19","35497.9337522889","671849325346.2229","369119185044.2603"
